course name, department, instructor name, course number, grade, semester and year
Data Analysis, STATS, Emily Chen, 320, 3.6, S21
American Literature, ENGL, David Nguyen, 222, 3.8, F22
Microeconomics, ECON, James Kim, 201, 3.2, S23
World History, HIST, Samantha Jones, 110, 3.9, F24
Java Programming, CS, William Davis, 251, 3.7, S25
Marketing Principles, MKTG, Rachel Lee, 301, 3.4, F26
Calculus 2, MATH, Jason Lee, 202, 3.1, S21
Intro to Sociology, SOC, Stephanie Wilson, 101, 3.9, F22
Theater Arts, THEA, Christopher Lee, 150, 2.8, S23
Introduction to Ethics, PHIL, Michelle Chen, 110, 3.6, F24
Macroeconomics, ECON, John Kim, 202, 3.5, S25
Digital Photography, ART, Sarah Brown, 330, 3.2, F26
Introduction to Political Science, POLS, Eric Lee, 101, 3.7, S21
Linear Algebra, MATH, David Park, 301, 3.9, F22
Abnormal Psychology, PSYC, Susan Lee, 210, 3.3, S23
Business Ethics, BUS, Michael Kim, 302, 3.8, F24
Creative Writing, ENGL, Laura Chen, 250, 2.7, S25
Organizational Behavior, BUS, Kevin Lee, 301, 3.4, F26
Physics 1, PHYS, William Kim, 111, 3.1, S21
International Relations, POLS, Sarah Wilson, 201, 3.9, F22
Introduction to Music, MUS, Brian Lee, 101, 3.5, S23
Human Anatomy, BIOL, Jennifer Park, 201, 3.2, F24
Financial Accounting, ACCT, Peter Kim, 301, 3.7, S25
Spanish 2, SPAN, Maria Garcia, 102, 4.0, F26
Human Resource Management, BUS, Emily Lee, 302, 3.6, S21
Discrete Mathematics, MATH, James Park, 210, 3.8, F22
Introduction to Philosophy, PHIL, Sarah Chen, 101, 3.2, S23
Environmental Science, ENVS, John Lee, 220, 3.5, F24
Classical Mythology, CLAS, Emily Kim, 150, 3.1, S25
